,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
1351,0,3,2,0,6,11,0,4,0,40,3
1352,0,0,0,0,6,11,0,4,0,44,3
1353,2,2,1,2,6,23,0,4,2,20,1
1354,10,3,3,0,6,11,0,4,0,41,3
1355,2,4,1,0,6,11,0,0,0,50,3
1356,6,3,3,0,6,11,0,4,0,41,3
1357,6,3,2,0,6,11,0,4,0,40,3
1358,11,4,0,0,6,12,0,0,0,50,3
1359,12,3,1,2,6,12,0,4,2,24,1
1360,7,2,1,2,6,23,0,4,2,20,1
1361,8,2,3,0,6,7,0,2,0,40,2
1362,0,2,3,0,6,7,0,2,0,40,2
1363,12,1,0,0,5,15,0,4,2,26,1
1364,0,0,2,0,6,11,0,4,0,42,3
1365,11,1,0,0,5,15,0,4,2,26,1
1366,10,2,0,0,6,12,0,4,0,49,3
1367,10,2,3,0,6,7,0,2,0,40,2
1368,7,2,0,0,6,12,0,4,0,49,3
1369,2,4,2,0,6,11,0,4,2,35,3
1370,11,4,2,0,6,11,0,4,2,35,3
1371,3,2,1,2,6,23,0,4,2,20,1
1372,8,2,1,2,6,23,0,4,2,20,1
1373,12,3,2,0,6,11,0,4,0,40,3
1374,6,1,1,0,5,24,0,4,2,22,2
1375,8,1,1,0,5,24,0,4,2,22,2
1376,0,2,0,0,6,12,0,4,0,49,3
1377,6,1,0,0,5,15,0,4,2,26,1
1378,0,3,3,0,6,11,0,4,0,41,3
1379,6,4,1,0,6,11,0,0,0,50,3
1380,0,1,2,0,6,11,0,4,0,17,3
1381,6,3,0,0,6,11,0,0,0,46,3
1382,8,4,2,0,6,11,0,4,2,35,3
1383,4,1,0,0,5,15,0,4,2,26,1
1384,7,0,0,0,6,11,0,4,0,44,3
1385,10,0,2,0,6,11,0,4,0,42,3
1386,8,1,0,0,5,15,0,4,2,26,1
1387,1,3,2,0,6,11,0,4,0,40,3
1388,7,2,3,0,6,7,0,2,0,40,2
1389,8,1,0,0,0,10,0,4,2,33,2
1390,6,0,0,0,6,11,0,4,0,44,3
1391,7,2,2,0,6,11,0,0,0,45,3
1392,11,4,1,0,6,11,0,0,0,50,3
1393,4,1,0,0,0,10,0,4,2,33,2
1394,4,1,2,0,6,11,0,4,0,17,3
1395,3,2,2,0,6,11,0,0,0,45,3
1396,0,1,0,0,0,10,0,4,2,33,2
1397,6,1,0,0,0,10,0,4,2,33,2
1398,3,2,3,0,6,7,0,2,0,40,2
1399,0,2,2,0,6,11,0,0,0,45,3
1400,1,3,1,2,6,12,0,4,2,24,1
1401,0,3,0,0,6,11,0,0,0,46,3
1402,8,1,2,0,6,11,0,4,0,17,3
1403,6,0,2,0,6,11,0,4,0,42,3
1404,11,1,0,0,5,15,0,4,2,26,1
1405,11,1,1,0,5,24,0,4,2,22,2
1406,10,2,1,2,6,23,0,4,2,20,1
1407,3,2,0,0,6,12,0,4,0,49,3
1408,6,1,2,0,6,11,0,4,0,17,3
1409,0,1,1,0,5,24,0,4,2,22,2
1410,1,3,3,0,6,11,0,4,0,41,3
1411,1,3,0,0,6,11,0,0,0,46,3
1412,7,4,0,0,5,28,0,2,2,271,1
1413,8,0,0,0,2,17,1,4,1,303,1
1414,7,4,2,0,4,26,1,4,2,404,1
1415,4,2,0,0,6,30,0,4,2,269,2
1416,1,2,2,0,5,8,0,4,2,381,2
1417,2,3,0,0,5,28,0,2,2,231,1
1418,3,3,1,0,5,8,0,4,2,447,1
1419,1,2,3,0,6,18,0,4,2,374,2
