week,day,time_of_day,class_type,faculty,school,joint,degree,enrollment,class_duration,class_type_new
4,0,2,0,5,8,0,2,291,2,4
4,2,2,0,5,28,0,2,271,1,3
4,2,1,0,5,28,0,2,385,1,2
1,1,2,0,5,15,0,2,419,1,5
5,4,1,0,6,12,0,2,381,2,3
0,0,0,0,2,16,1,2,455,2,5
11,0,0,0,5,15,0,2,386,1,3
10,4,0,0,5,15,0,2,386,1,4
11,1,0,0,2,17,0,2,424,2,4
4,2,0,0,5,8,0,2,447,1,4
7,2,2,0,2,16,0,2,452,1,4
6,4,2,0,2,16,0,2,409,2,4
2,0,2,0,5,8,0,2,291,2,4
7,3,0,0,6,11,0,2,366,2,4
7,1,2,0,2,16,0,2,457,2,4
3,3,2,0,2,16,0,2,452,2,3
7,4,2,0,5,8,0,2,447,1,3
7,4,3,0,6,22,0,0,62,1,3
10,2,0,0,5,15,0,2,419,1,3
10,2,0,0,0,29,0,2,354,2,3
4,2,1,0,6,7,1,2,304,1,3
6,4,0,0,5,15,0,2,386,1,4
2,2,2,0,5,28,0,2,271,1,3
2,2,1,0,5,28,0,2,385,1,3
10,4,2,0,2,16,0,2,409,2,3
11,0,2,0,5,8,0,2,291,2,3
10,4,3,0,6,22,0,0,62,1,2
7,1,1,0,2,17,0,0,320,1,4
7,4,0,0,5,28,0,2,403,1,4
7,3,2,0,5,8,0,2,381,2,4
2,2,0,0,5,8,0,2,447,1,4
5,4,2,0,5,8,0,2,447,1,3
10,0,0,0,5,15,0,2,386,1,3
11,1,2,0,5,15,0,2,419,1,4
1,1,0,0,5,28,0,2,403,1,4
7,3,2,0,2,16,0,2,452,2,3
6,4,0,0,2,16,0,2,457,1,4
10,4,2,0,5,8,0,2,447,1,3
2,0,0,0,2,16,1,2,455,2,5
10,4,1,0,6,12,0,2,381,2,3
10,4,0,0,2,16,0,2,457,1,4
10,2,2,0,2,16,0,2,452,1,3
10,3,2,0,5,8,0,2,381,2,4
7,1,1,0,2,16,1,2,447,2,3
7,3,1,0,2,16,0,2,459,2,4
1,1,2,0,2,16,0,2,457,2,4
2,4,2,0,5,4,0,2,122,1,3
2,4,0,0,2,21,0,2,219,1,4
4,4,1,0,5,6,0,2,185,1,3
9,4,1,0,5,4,0,2,99,2,3
8,4,1,0,5,6,0,2,185,1,4
4,4,2,0,2,17,0,2,134,2,1
11,4,1,0,5,4,0,2,99,2,3
1,0,0,0,5,28,0,2,128,1,3
11,4,0,0,2,21,0,2,219,1,3
4,4,0,0,0,29,0,2,88,2,2
6,2,2,0,0,29,0,2,115,2,2
9,4,1,0,5,6,0,2,185,1,3
9,4,0,0,2,21,0,2,219,1,3
0,1,2,0,4,9,0,2,222,1,4
8,4,0,0,2,21,0,2,219,1,3
1,2,1,0,5,6,1,2,183,1,4
2,4,1,0,5,4,0,2,99,2,3
8,0,1,0,5,6,0,2,185,1,2
2,4,2,0,2,17,0,2,134,2,2
8,4,0,0,0,29,0,2,88,2,2
1,0,2,0,2,21,0,2,188,1,3
1,0,2,0,5,8,0,2,151,2,3
1,0,1,0,5,6,0,2,185,1,4
9,4,0,0,0,29,0,2,88,2,2
8,1,2,0,4,9,0,2,222,1,3
9,4,2,0,5,4,0,2,122,1,2
1,0,0,0,0,29,0,2,94,2,3
11,4,2,0,5,4,0,2,122,1,2
12,1,2,0,4,9,0,2,222,1,1
8,4,2,0,5,4,0,2,122,1,3
1,2,0,0,1,0,0,2,197,1,4
11,4,0,0,0,29,0,2,88,2,2
4,3,2,0,2,25,1,2,214,4,4
5,2,0,0,5,28,0,2,81,1,1
2,3,1,0,0,31,0,2,167,1,3
2,3,2,0,2,25,1,2,214,4,4
5,2,3,0,2,16,1,0,126,3,3
3,2,0,0,5,28,0,2,81,1,2
3,2,3,0,2,16,1,0,126,3,3
1,4,1,0,5,4,0,2,99,2,3
6,4,2,0,5,4,0,2,122,1,2
2,4,1,0,5,6,0,2,185,1,4
2,4,0,0,0,29,0,2,88,2,3
4,3,3,0,2,16,0,0,234,3,4
4,1,2,0,4,9,0,2,222,1,4
5,2,2,0,0,29,0,2,115,2,2
3,0,2,0,5,8,0,2,151,2,3
2,1,2,0,4,9,0,2,222,1,4
8,3,2,0,2,25,1,2,214,4,4
7,2,0,0,5,28,0,2,81,1,3
11,3,2,0,2,25,1,2,214,4,3
11,1,2,0,4,9,0,2,222,1,2
4,4,0,0,2,21,0,2,219,1,4
12,2,3,0,2,16,1,0,126,3,2
4,3,1,0,0,31,0,2,167,1,2
1,2,2,0,0,29,0,2,115,2,3
4,1,1,0,5,6,1,2,183,1,4
8,0,2,0,5,8,0,2,151,2,2
9,0,2,0,5,8,0,2,151,2,3
2,1,0,0,0,20,0,2,173,2,4
6,1,2,0,4,9,0,2,222,1,3
3,2,2,0,0,29,0,2,115,2,2
6,1,0,0,0,20,0,2,173,2,4
1,4,2,0,5,4,0,2,122,1,3
7,2,3,0,2,16,1,0,126,3,3
12,2,0,0,1,0,0,2,197,1,4
0,4,0,0,0,29,0,2,88,2,3
9,0,1,0,5,6,0,2,185,1,3
4,1,3,0,2,16,0,0,95,3,3
7,2,1,0,5,6,1,2,183,1,3
5,2,0,0,1,0,0,2,197,1,3
4,1,0,0,0,20,0,2,173,2,3
3,0,0,0,5,28,0,2,128,1,2
2,3,3,0,2,16,0,0,234,3,4
0,1,0,0,0,20,0,2,173,2,4
6,4,1,0,5,4,0,2,99,2,1
0,1,3,0,2,16,0,0,95,3,3
8,1,3,0,2,16,0,0,95,3,2
1,4,0,0,2,21,0,2,219,1,4
8,4,1,0,5,4,0,2,99,2,3
5,0,2,0,5,8,0,2,151,2,3
5,0,2,0,2,21,0,2,188,1,1
7,2,0,0,1,0,0,2,197,1,3
5,2,1,0,5,6,1,2,183,1,2
6,3,3,0,2,16,0,0,234,3,4
9,3,2,0,2,25,1,2,214,4,4
2,1,3,0,2,16,0,0,95,3,3
3,0,0,0,0,29,0,2,94,2,3
10,1,1,0,5,6,1,2,183,1,3
9,0,0,0,0,29,0,2,94,2,3
3,2,1,0,5,6,1,2,183,1,3
2,1,2,0,6,19,1,1,109,2,3
0,4,2,0,5,4,0,2,122,1,3
6,4,0,0,0,29,0,2,88,2,2
4,4,2,0,5,4,0,2,122,1,3
7,2,2,0,0,29,0,2,115,2,2
3,2,0,0,1,0,0,2,197,1,4
6,1,3,0,2,16,0,0,95,3,3
8,2,2,0,0,29,0,2,115,2,1
7,4,1,0,5,6,0,2,185,1,3
5,4,0,0,0,29,0,2,88,2,1
0,4,0,0,2,21,0,2,219,1,4
0,4,1,0,5,6,0,2,185,1,4
5,0,1,0,5,6,0,2,185,1,3
10,2,3,0,2,16,1,0,126,3,4
9,3,3,0,2,16,0,0,234,3,3
2,1,1,0,5,6,1,2,183,1,4
8,2,1,0,5,6,1,2,183,1,2
6,1,1,0,5,6,1,2,183,1,3
8,0,0,0,0,29,0,2,94,2,3
6,3,2,0,2,25,1,2,214,4,4
3,4,1,0,5,6,0,2,185,1,3
11,3,3,0,2,16,0,0,234,3,4
10,1,2,0,6,19,1,1,109,2,2
5,4,1,0,5,6,0,2,185,1,4
10,3,1,0,0,31,0,2,167,1,2
0,4,2,0,2,17,0,2,134,2,3
5,4,1,0,5,4,0,2,99,2,3
1,4,2,0,2,17,0,2,134,2,2
5,3,1,0,0,31,0,2,167,1,2
3,0,2,0,2,21,0,2,188,1,3
3,4,2,0,2,17,0,2,134,2,2
1,2,3,0,2,16,1,0,126,3,4
5,0,0,0,5,28,0,2,128,1,1
9,2,1,0,5,6,1,2,183,1,2
10,4,1,0,5,4,0,2,99,2,2
1,1,2,0,6,19,1,1,109,2,3
10,3,3,0,2,16,0,0,234,3,4
10,3,2,0,2,25,1,2,214,4,4
1,4,0,0,0,29,0,2,88,2,3
11,1,2,0,6,19,1,1,109,2,3
5,3,3,0,2,16,0,0,234,3,4
3,4,0,0,0,29,0,2,88,2,3
0,1,1,0,5,6,1,2,183,1,4
7,1,2,0,4,9,0,2,222,1,3
7,3,2,0,2,25,1,2,214,4,4
5,3,2,0,2,25,1,2,214,4,4
8,1,1,0,5,6,1,2,183,1,3
9,2,0,0,1,0,0,2,197,1,3
11,2,1,0,5,6,1,2,183,1,2
1,1,1,0,5,6,1,2,183,1,4
10,2,2,0,0,29,0,2,115,2,1
7,0,1,0,5,6,0,2,185,1,3
9,3,1,0,0,31,0,2,167,1,1
0,2,0,0,5,28,0,2,81,1,2
7,1,0,0,0,20,0,2,173,2,4
11,1,3,0,2,16,0,0,95,3,3
6,1,2,0,6,19,1,1,109,2,2
7,0,0,0,0,29,0,2,94,2,3
10,4,0,0,2,21,0,2,219,1,3
7,4,0,0,0,29,0,2,88,2,2
0,0,1,0,5,6,0,2,185,1,3
10,1,3,0,2,16,0,0,95,3,3
2,0,1,0,5,6,0,2,185,1,3
0,3,2,0,2,25,1,2,214,4,4
12,4,1,0,5,4,0,2,99,2,3
3,1,2,0,4,9,0,2,222,1,4
7,1,3,0,2,16,0,0,95,3,3
3,0,1,0,5,6,0,2,185,1,3
3,3,2,0,2,25,1,2,214,4,4
5,1,0,0,0,20,0,2,173,2,3
5,1,2,0,4,9,0,2,222,1,3
8,1,2,0,6,19,1,1,109,2,2
11,1,0,0,0,20,0,2,173,2,4
0,0,2,0,2,21,0,2,188,1,3
3,4,2,0,5,4,0,2,122,1,3
2,2,1,0,5,6,1,2,183,1,4
5,1,2,0,6,19,1,1,109,2,4
7,0,2,0,2,21,0,2,188,1,3
11,1,1,0,5,6,1,2,183,1,3
3,3,3,0,2,16,0,0,234,3,4
4,1,2,0,6,19,1,1,109,2,2
0,2,2,0,0,29,0,2,115,2,3
6,3,1,0,0,31,0,2,167,1,2
10,4,2,0,5,4,0,2,122,1,3
1,2,0,0,5,28,0,2,81,1,3
8,2,0,0,5,28,0,2,81,1,1
3,4,1,0,5,4,0,2,99,2,3
5,4,0,0,2,21,0,2,219,1,4
10,2,0,0,1,0,0,2,197,1,3
4,0,2,0,5,8,0,2,151,2,3
0,2,0,0,1,0,0,2,197,1,4
7,1,1,0,5,6,1,2,183,1,3
7,3,1,0,0,31,0,2,167,1,2
4,2,0,0,5,28,0,2,81,1,2
6,4,1,0,5,6,0,2,185,1,3
7,0,0,0,5,28,0,2,128,1,2
10,0,0,0,0,29,0,2,94,2,3
11,0,1,0,5,6,0,2,185,1,3
2,0,2,0,2,21,0,2,188,1,2
5,4,2,0,5,4,0,2,122,1,3
10,2,1,0,5,6,1,2,183,1,3
3,1,0,0,0,20,0,2,173,2,4
10,0,2,0,2,21,0,2,188,1,1
3,1,3,0,2,16,0,0,95,3,3
10,0,2,0,5,8,0,2,151,2,3
4,0,0,0,5,28,0,2,128,1,2
4,0,0,0,0,29,0,2,94,2,3
7,3,3,0,2,16,0,0,234,3,4
0,1,2,0,6,19,1,1,109,2,3
10,4,0,0,0,29,0,2,88,2,2
0,0,2,0,5,8,0,2,151,2,3
0,0,0,0,5,28,0,2,128,1,2
2,0,2,0,5,8,0,2,151,2,3
3,3,1,0,0,31,0,2,167,1,3
0,2,1,0,5,6,1,2,183,1,3
4,0,2,0,2,21,0,2,188,1,2
11,0,0,0,0,29,0,2,94,2,3
7,1,2,0,6,19,1,1,109,2,2
1,3,1,0,0,31,0,2,167,1,3
0,2,3,0,2,16,1,0,126,3,4
