week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
9,2,3,0,2,16,1,4,0,126,3
11,2,0,0,1,0,0,4,2,197,1
1,1,3,0,2,16,0,4,0,95,3
2,2,3,0,2,16,1,4,0,126,3
7,4,2,0,5,4,0,4,2,122,1
9,2,0,0,5,28,0,4,2,81,1
3,1,2,0,6,19,1,4,1,109,2
11,0,2,0,5,8,0,4,2,151,2
2,4,1,0,0,10,0,4,2,46,2
8,4,2,0,0,10,0,4,2,74,1
2,1,0,0,5,4,0,4,2,23,1
11,4,2,0,0,10,0,4,2,74,1
8,1,0,0,5,4,0,4,2,23,1
0,1,1,0,5,28,0,2,2,79,1
4,3,0,0,5,6,0,4,2,40,1
1,0,0,0,2,16,1,4,2,58,2
1,0,2,0,5,4,1,3,2,56,1
8,3,0,0,5,6,0,4,2,40,1
0,1,0,0,5,4,0,4,2,23,1
1,4,1,0,1,3,0,4,2,80,4
2,1,2,0,0,29,0,4,2,34,1
4,1,1,0,5,28,0,2,2,79,1
2,1,1,0,5,28,0,2,2,79,1
1,0,0,0,5,4,0,4,2,62,1
7,2,0,0,5,8,0,4,2,105,1
1,4,2,0,0,29,0,4,2,97,1
1,4,2,0,6,7,0,2,0,45,2
2,4,2,0,0,10,0,4,2,74,1
9,4,1,0,1,3,0,4,2,80,4
3,2,1,0,5,1,0,4,2,91,2
0,1,2,0,0,29,0,4,2,34,1
3,2,0,0,0,10,0,4,2,30,2
2,3,0,0,5,6,0,4,2,40,1
5,2,1,0,5,1,0,4,2,91,2
9,3,0,0,5,6,0,4,2,40,1
9,4,1,0,0,10,0,4,2,46,2
0,1,0,0,0,31,0,4,2,97,1
3,2,0,0,5,8,0,4,2,105,1
4,3,2,0,0,10,0,4,2,52,1
5,2,0,0,5,8,0,4,2,105,1
9,4,2,0,0,10,0,4,2,74,1
8,1,1,0,5,28,0,2,2,79,1
5,1,0,0,5,4,0,4,2,23,1
2,4,2,0,0,29,0,4,2,97,1
1,4,1,0,0,10,0,4,2,46,2
1,0,2,2,2,21,0,4,2,97,1
8,4,1,0,0,10,0,4,2,46,2
7,2,1,0,5,1,0,4,2,91,2
3,3,0,0,5,6,0,4,2,40,1
0,1,2,0,2,16,0,4,2,34,2
11,1,1,0,5,28,0,2,2,79,1
0,3,0,0,5,6,0,4,2,40,1
11,4,1,0,0,10,0,4,2,46,2
3,0,2,2,2,21,0,4,2,97,1
3,0,2,0,5,4,1,3,2,56,1
2,4,2,0,6,7,0,2,0,45,2
7,2,0,0,0,10,0,4,2,30,2
0,4,1,0,0,10,0,4,2,46,2
5,0,2,2,2,21,0,4,2,97,1
3,0,0,0,5,4,0,4,2,62,1
4,4,1,0,0,10,0,4,2,46,2
8,3,1,0,2,16,0,4,2,51,2
0,4,2,0,0,10,0,4,2,74,1
0,3,2,0,0,10,0,4,2,52,1
4,1,2,0,0,29,0,4,2,34,1
2,1,0,0,0,31,0,4,2,97,1
5,2,0,0,0,10,0,4,2,30,2
2,3,2,0,0,10,0,4,2,52,1
8,0,0,0,5,4,0,4,2,62,1
5,1,2,0,0,29,0,4,2,34,1
5,3,2,0,0,10,0,4,2,52,1
7,2,2,0,5,24,0,4,2,48,2
8,3,2,0,0,10,0,4,2,52,1
1,4,2,0,0,10,0,4,2,74,1
0,3,1,0,2,16,0,4,2,51,2
12,4,1,0,1,3,0,4,2,80,4
5,4,1,0,0,10,0,4,2,46,2
